"No.","Time","Source","Destination","Protocol","Length","Info"
"121","40.755350590","02:42:b9:e4:f0:e7","02:42:ac:11:00:03","ARP","42","172.17.0.2 is at 02:42:b9:e4:f0:e7 (duplicate use of 172.17.0.3 detected!)"
"122","41.391482726","172.17.0.3","172.17.0.4","ICMP","98","Echo (ping) request  id=0x0001, seq=18/4608, ttl=64 (reply in 123)"
"123","41.391571832","172.17.0.4","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0001, seq=18/4608, ttl=64 (request in 122)"
"124","41.809468042","02:42:b9:e4:f0:e7","02:42:ac:11:00:02","ARP","42","172.17.0.4 is at 02:42:b9:e4:f0:e7 (duplicate use of 172.17.0.2 detected!)"
"125","42.006991408","02:42:b9:e4:f0:e7","02:42:ac:11:00:04","ARP","42","172.17.0.2 is at 02:42:b9:e4:f0:e7"
"126","42.287131635","02:42:b9:e4:f0:e7","02:42:ac:11:00:02","ARP","42","172.17.0.3 is at 02:42:b9:e4:f0:e7 (duplicate use of 172.17.0.2 detected!)"
"127","42.415225551","172.17.0.3","172.17.0.4","ICMP","98","Echo (ping) request  id=0x0001, seq=19/4864, ttl=64 (reply in 128)"
"128","42.415287447","172.17.0.4","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0001, seq=19/4864, ttl=64 (request in 127)"
"129","42.755643184","02:42:b9:e4:f0:e7","02:42:ac:11:00:03","ARP","42","172.17.0.2 is at 02:42:b9:e4:f0:e7 (duplicate use of 172.17.0.3 detected!)"
"130","43.439243495","172.17.0.3","172.17.0.4","ICMP","98","Echo (ping) request  id=0x0001, seq=20/5120, ttl=64 (reply in 131)"
"131","43.439304048","172.17.0.4","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0001, seq=20/5120, ttl=64 (request in 130)"
"132","43.809849009","02:42:b9:e4:f0:e7","02:42:ac:11:00:02","ARP","42","172.17.0.4 is at 02:42:b9:e4:f0:e7 (duplicate use of 172.17.0.2 detected!)"
"133","44.007450118","02:42:b9:e4:f0:e7","02:42:ac:11:00:04","ARP","42","172.17.0.2 is at 02:42:b9:e4:f0:e7"
"134","44.287546268","02:42:b9:e4:f0:e7","02:42:ac:11:00:02","ARP","42","172.17.0.3 is at 02:42:b9:e4:f0:e7 (duplicate use of 172.17.0.2 detected!)"
"135","44.463430635","172.17.0.3","172.17.0.4","ICMP","98","Echo (ping) request  id=0x0001, seq=21/5376, ttl=64 (reply in 136)"
"136","44.463511566","172.17.0.4","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0001, seq=21/5376, ttl=64 (request in 135)"
