"No.","Time","Source","Destination","Protocol","Length","Info"
"45","5.309808095","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0007, seq=16/4096, ttl=63 (reply in 46)"
"46","5.309835888","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0007, seq=16/4096, ttl=64 (request in 45)"
"47","5.309851357","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0007, seq=16/4096, ttl=63"
"48","5.341820474","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0005, seq=571/15106, ttl=64 (reply in 49)"
"49","5.341882831","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0005, seq=571/15106, ttl=64 (request in 48)"
"50","5.461247486","02:42:c7:f2:77:18","02:42:ac:11:00:03","ARP","42","172.17.0.4 is at 02:42:c7:f2:77:18 (duplicate use of 172.17.0.3 detected!)"
"51","6.000565424","02:42:c7:f2:77:18","02:42:ac:11:00:04","ARP","42","172.17.0.3 is at 02:42:c7:f2:77:18"
"52","6.333617971","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0007, seq=17/4352, ttl=64 (no response found!)"
"53","6.333673435","172.17.0.1","172.17.0.4","ICMP","126","Redirect             (Redirect for host)"
"54","6.333700566","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0007, seq=17/4352, ttl=63 (reply in 55)"
"55","6.333742915","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0007, seq=17/4352, ttl=64 (request in 54)"
"56","6.333773042","172.17.0.1","172.17.0.2","ICMP","126","Redirect             (Redirect for host)"
"57","6.333791066","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0007, seq=17/4352, ttl=63"
"58","6.365716472","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0005, seq=572/15362, ttl=64 (reply in 59)"
"59","6.365794428","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0005, seq=572/15362, ttl=64 (request in 58)"
"60","6.463940250","02:42:c7:f2:77:18","02:42:ac:11:00:04","ARP","42","172.17.0.2 is at 02:42:c7:f2:77:18"
"61","7.268414931","02:42:c7:f2:77:18","02:42:ac:11:00:02","ARP","42","172.17.0.4 is at 02:42:c7:f2:77:18 (duplicate use of 172.17.0.2 detected!)"
"62","7.357860572","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0007, seq=18/4608, ttl=64 (no response found!)"
"63","7.357905306","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0007, seq=18/4608, ttl=63 (reply in 64)"
"64","7.357932918","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0007, seq=18/4608, ttl=64 (request in 63)"
"65","7.357949158","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0007, seq=18/4608, ttl=63"
"66","7.389715237","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0005, seq=573/15618, ttl=64 (reply in 67)"
"67","7.389806679","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0005, seq=573/15618, ttl=64 (request in 66)"
